513244;Data Science A-Z™: Real-Life Data Science Exercises Included;/course/datascience/;609.99;
903378;The Python Bible™ | Everything You Need to Program in Python;/course/the-python-bible/;594.99;
1793828;Docker and Kubernetes: The Complete Guide;/course/docker-and-kubernetes-the-complete-guide/;309.99;
461160;Learn and Understand NodeJS;/course/understand-nodejs/;594.99;
806922;The Complete ASP.NET MVC 5 Course;/course/the-complete-aspnet-mvc-5-course/;579.99;
516446;Microsoft Excel - Advanced Excel Formulas & Functions;/course/excel-for-analysts/;534.99;
591930;Become a SuperLearner® 2: Learn Speed Reading & Boost Memory;/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/;609.99;
403314;Facebook Ads & Facebook Marketing MASTERY 2020 | Coursenvy ™;/course/facebook-ads-facebook-marketing-mastery-guide/;609.99;
673654;Become a Product Manager | Learn the Skills & Get the Job;/course/become-a-product-manager-learn-the-skills-get-a-job/;594.99;
256758;Learn Linux in 5 Days and Level Up Your Career;/course/learn-linux-in-5-days/;594.99;
693700;The Complete Salesforce Classic Administrator Certification;/course/salesforce-administrator/;69.99;
1247828;The Complete Angular Course: Beginner to Advanced;/course/the-complete-angular-master-class/;609.99;
321410;Beginner to Pro in Excel: Financial Modeling and Valuation;/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/;594.99;
1197206;Illustrator CC 2020 MasterClass;/course/illustrator-cc-masterclass/;609.99;
671576;Machine Learning, Data Science and Deep Learning with Python;/course/data-science-and-machine-learning-with-python-hands-on/;579.99;
1026604;Advanced CSS and Sass: Flexbox, Grid, Animations and More!;/course/advanced-css-and-sass/;609.99;
864146;Agile Crash Course: Agile Project Management- Agile Delivery;/course/agile-crash-course/;609.99;
42271;Complete Guitar System - Beginner to Advanced;/course/complete-guitar-system-beginner-to-advanced/;609.99;
996228;The Ultimate Hands-On Hadoop - Tame your Big Data!;/course/the-ultimate-hands-on-hadoop-tame-your-big-data/;579.99;
289230;Learn and Understand AngularJS;/course/learn-angularjs/;534.99;
1576854;Beginning C++ Programming - From Beginner to Beyond;/course/beginning-c-plus-plus-programming/;459.99;
1080376;Life Coaching Certificate Course (Beginner to Advanced);/course/life-coaching-online-certification-course-life-coach-training/;609.99;
484606;Instagram Marketing 2020: A Step-By-Step to 10,000 Followers;/course/instagram-marketing-for-small-businesses/;609.99;
2196488;Ultimate AWS Certified Solutions Architect Associate 2020;/course/aws-certified-solutions-architect-associate-saa-c01/;609.99;
1596138;TOTAL: CompTIA Security+ Certification (SY0-501).;/course/comptia-security-certification-sy0-501-the-total-course/;594.99;
802578;AZ-300 Azure Architecture Technologies Exam Prep 2020;/course/70534-azure/;129.99;
751094;The Complete Networking Fundamentals Course. Your CCNA start;/course/complete-networking-fundamentals-course-ccna-start/;69.99;
383576;C# Intermediate: Classes, Interfaces and OOP;/course/csharp-intermediate-classes-interfaces-and-oop/;459.99;
560388;How to Start an Amazon FBA Store on a Tight Budget;/course/sell-on-amazon-as-small-start-up/;549.99;
1708340;Learn Flutter & Dart to Build iOS & Android Apps [2020];/course/learn-flutter-dart-to-build-ios-android-apps/;609.99;
1178124;Complete C# Unity Developer 3D: Learn to Code Making Games;/course/unitycourse2/;594.99;
1151036;Blockchain and Bitcoin Fundamentals;/course/blockchain-and-bitcoin-fundamentals/;294.99;
751792;Business Analysis Fundamentals;/course/business-analysis-ba/;609.99;
1463348;Modern JavaScript From The Beginning;/course/modern-javascript-from-the-beginning/;534.99;
866196;The Complete Oracle SQL Certification Course;/course/the-complete-oracle-sql-certification-course/;594.99;
1350984;The Modern Python 3 Bootcamp;/course/the-modern-python3-bootcamp/;609.99;
405282;PHP for Beginners - Become a PHP Master - CMS Project;/course/php-for-complete-beginners-includes-msql-object-oriented/;609.99;
1352468;Master Microservices with Spring Boot and Spring Cloud;/course/microservices-with-spring-boot-and-spring-cloud/;609.99;
627730;After Effects CC 2020: Complete Course from Novice to Expert;/course/after-effects-kinetic-typography/;609.99;
833442;Angular & NodeJS - The MEAN Stack Guide [2020 Edition];/course/angular-2-and-nodejs-the-practical-guide/;459.99;
1091520;Cognitive Behavioural Therapy (CBT) Practitioner Certificate;/course/cognitive-behavioural-therapy-online-course-cbt-practitioner-course/;609.99;
362632;Scrum Certification Prep +Scrum Master+ Agile Scrum Training;/course/scrum-certification/;594.99;
1921420;Ultimate AWS Certified Developer Associate 2020 - NEW!;/course/aws-certified-developer-associate-dva-c01/;609.99;
1286908;The Complete React Developer Course (w/ Hooks and Redux);/course/react-2nd-edition/;309.99;
719002;Angular Crash Course for Busy Developers;/course/angular-crash-course/;489.99;
1065056;Cooper Crash Course: Design Thinking in 3 Steps;/course/cooper-crash-course/;594.99;
836376;Python for Absolute Beginners;/course/python-for-absolute-beginners-u/;159.99;
1203374;Cisco CCNA 200-125 and 200-301 – The Complete Guide;/course/ccna-complete/;69.99;
892102;iOS 10 & Swift 3: From Beginner to Paid Professional™;/course/devslopes-ios10/;609.99;
41295;Learn HTML5 Programming From Scratch;/course/learn-html5-programming-from-scratch/;69.99;
1326292;Complete Guide to TensorFlow for Deep Learning with Python;/course/complete-guide-to-tensorflow-for-deep-learning-with-python/;594.99;
965832;The Complete Investment Banking Course 2020;/course/the-complete-investment-banking-course-2016/;594.99;
684824;Spring Framework Master Class - Learn Spring the Modern Way!;/course/spring-tutorial-for-beginners/;609.99;
1405632;SQL - MySQL for Data Analytics and Business Intelligence;/course/sql-mysql-for-data-analytics-and-business-intelligence/;594.99;
